seed,state_idx,ego_id,neighbor_id,learned_score,oracle_score,learned_signed,learned_direction_row_aipw,oracle_signed,learned_range,oracle_range,oracle_q_nonconstant,oracle_q_distinct_levels,observed_action_probability,policy_support_entropy,valid_action_count,target_policy_l1_to_uniform,q_centered_rmse,q_centered_mae,abs_error,signed_error,capacity_abs_error,direction_abs_error,proxy_sigma,capacity_sigma,direction_sigma,dr_applied,oracle_argmax_action,oracle_argmin_action,learned_argmax_action,learned_argmin_action,oracle_argmax_count,oracle_argmin_count,oracle_extrema_unique,argmax_match,argmin_match,both_extrema_match,oracle_g_plus,oracle_g_minus,oracle_extrema_gap,extrema_gap_zero,q_raw_sup_error,q_gauge_shift_opt,q_gauge_sup_error,q_gauge_sup_error_check,lambda_C,lambda_C_raw,extrema_stability_certified,extrema_stability_violation
3002,2,0,4,0.0071459366008639336,0.0,-0.0005366699770092964,-0.0005366699770092964,0.0,0.0071459366008639336,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0019000046362653233,0.0014309053372635818,0.0071459366008639336,-0.0005366699770092964,0.0071459366008639336,0.0005366699770092964,0.0010421756887808442,0.0022473435383290052,0.0010421756887808442,0,0,0,10,3,13,13,0,1,1,1,0.0,0.0,0.0,1,0.003921635914593935,-0.0003486674977466464,0.0035729684168472886,0.0035729684168472886,inf,inf,0,0
3002,2,0,5,0.016346383839845657,0.024000000208616257,-0.0013170113088563085,-0.0013170113088563085,0.0,0.016346383839845657,0.024000000208616257,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0021631718303710685,0.0015463739793372929,0.007653616368770599,-0.0013170113088563085,0.007653616368770599,0.0013170113088563085,0.0016277245013043284,0.006213390734046698,0.0016277245013043284,0,10,11,10,11,1,1,1,1,1,1,0.012000000104308128,0.012000000104308128,0.012000000104308128,0,0.005954345688223839,-0.001691549550741911,0.004262796137481928,0.004262796137481928,0.3552330083690198,0.4961954697055515,1,0
3002,2,1,0,0.0089121637865901,0.0,-0.0003292829205747694,-0.0003292829205747694,0.0,0.0089121637865901,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.00226632280644567,0.0018509126119536055,0.0089121637865901,-0.0003292829205747694,0.0089121637865901,0.0003292829205747694,0.0028590660076588392,0.0017454065382480621,0.0028590660076588392,0,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.012595484964549541,-0.008139403071254492,0.00445608189329505,0.00445608189329505,inf,inf,0,0
3002,2,1,2,0.016207614913582802,0.017999999225139618,0.0020702388137578964,0.0020702388137578964,0.0,0.016207614913582802,0.017999999225139618,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.00153868646232267,0.0013515355296917922,0.001792384311556816,0.0020702388137578964,0.001792384311556816,0.0020702388137578964,0.0027343276888132095,0.0038030054420232773,0.0027343276888132095,0,10,11,10,11,1,1,1,1,1,1,0.008999999612569809,0.008999999612569809,0.008999999612569809,0,0.010376629419624805,-0.00793959479779005,0.002437034621834755,0.002437034621834755,0.2707816363048596,1.152958874035098,1,0
3002,2,1,3,0.01536199264228344,0.03599999938160181,-0.006384628359228373,-0.006384628359228373,-0.0033230769978692897,0.01536199264228344,0.03599999938160181,1,4,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.007684252505699479,0.004053826942576988,0.02063800673931837,-0.003061551361359083,0.02063800673931837,0.003061551361359083,0.001330409781076014,0.003912653308361769,0.001330409781076014,0,10,3,10,11,1,1,1,1,0,0,0.006000000052154064,0.023999999277293682,0.006000000052154064,0,0.022559056524187326,0.007336955750361085,0.015222100773826241,0.015222100773826241,2.5370167735850844,3.759842721349375,0,0
3002,2,1,4,0.01732003688812256,0.03899999801069498,0.0008918973617255688,0.0008918973617255688,0.0020769229522691317,0.01732003688812256,0.03899999801069498,1,4,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.008198538316514115,0.004324563530951562,0.021679961122572422,-0.001185025590543563,0.021679961122572422,0.001185025590543563,0.0025153725873678923,0.0036320025101304054,0.0025153725873678923,0,10,2,10,11,1,1,1,1,0,0,0.008999999612569809,0.020999998785555363,0.008999999612569809,0,0.021432205103337765,0.005257551558315754,0.01617465354502201,0.01617465354502201,1.797183804589475,2.381356225105229,0,0
3002,2,1,5,0.005934964865446091,0.0,6.619639316340908e-05,6.619639316340908e-05,8.673617379884035e-19,0.005934964865446091,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0018382644856298758,0.0015032829595564383,0.005934964865446091,6.619639316340822e-05,0.005934964865446091,6.619639316340822e-05,0.0007292366353794932,0.0022985658142715693,0.0007292366353794932,0,0,0,4,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.008645606227219105,-0.005678123794496059,0.0029674824327230453,0.0029674824327230453,inf,inf,0,0
3002,2,2,0,0.01137810479849577,0.0,-0.001792190712876618,-0.001792190712876618,0.0,0.01137810479849577,0.0,0,1,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0026273247327067047,0.001953471925925221,0.01137810479849577,-0.001792190712876618,0.01137810479849577,0.001792190712876618,0.0019206551369279623,0.0030511650256812572,0.0019206551369279623,0,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.006383155472576618,-0.0006941030733287334,0.005689052399247885,0.005689052399247885,inf,inf,0,0
3002,2,2,1,0.01814362406730652,0.017999999225139618,0.00028748580371029675,0.00028748580371029675,0.0,0.01814362406730652,0.017999999225139618,1,3,0.9076921939849854,0.20944694064039504,13,1.661538353333106,0.0012878811093694925,0.0010535400801685434,0.00014362484216690063,0.00028748580371029675,0.00014362484216690063,0.00028748580371029675,0.0013706517638638616,0.005437607876956463,0.0013706517638638616,0,10,11,10,11,1,1,1,1,1,1,0.008999999612569809,0.008999999612569809,0.008999999612569809,0,0.00446171872317791,-0.002445767866447568,0.002015950856730342,0.002015950856730342,0.223994549279177,0.49574654613834324,1,0
3002,2,2,3,0.017984194681048393,0.012000000104308128,-0.006566702853888273,-0.006566702853888273,-0.005400000016763807,0.017984194681048393,0.012000000104308128,1,3,0.9076923131942749,0.2094469155167731,13,1.661538461366525,0.001713018346806383,0.0012386038695522668,0.005984194576740265,-0.0011667028371244665,0.005984194576740265,0.0011667028371244665,0.0023267639335244894,0.005509032402187586,0.0023267639335244894,0,10,11,10,11,1,1,1,1,1,1,0.006000000052154064,0.006000000052154064,0.006000000052154064,0,0.0060324519872665405,-0.002393848029896617,0.0036386039573699236,0.0036386039573699236,0.6064339876236544,1.0054086558050654,0,0
